names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Enterococcus_asini,0,0,0,0,0,0,0,0.06741,0,0,0,0,0,0,0,0,0,0.01915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_avium,0,0,0,0,0,0,0,0.16847,0,0,0,0,0,0,0,0,0,0.15755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_casseliflavus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03438,0,0.00014,0,0,0,0,0,0,0,0,0,0.19827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_faecalis,0,0,0,0.42787,0,0,0.00939,0,0.00191,0,0,0,0.23377,0.05733,0,0,0,0,0,0.39131,0,0,0,0,0,0,0,0,0.57226,0.2561,0.28389,0,0,0,0,0,0,0.00611,0,0,0,0,0.04095,0,0,0.06662,0.01389,0,0,0.01046,0,0.00657,0,0.02603,0
Enterococcus_faecium,0,0,0.00991,0,0,0,0,0.00373,0.00039,0,0,0,0,0,0,0.00169,0.00921,0.01427,0,0.01033,0,0,0,0,0,0,0,0,0,0.00402,0,0,0,0,0,0.17568,0,0.16557,0,0,0,0.00862,0.01484,0,0,0.81656,0,0.12636,0,0,0,0,0,0,0
Enterococcus_gallinarum,0,0,0,0,0,0,0,0.0948,0,0,0,0,1.14047,0,0,0,0,0,0.00208,0,0,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_hirae,0,0,0,0,0,0,0,0.01589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0243,0,0,0,0,0,0,0
Enterococcus_raffinosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus_thailandicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0,0.03574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melissococcus_sp_OM08_11BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839,0,0,0,0,0,0,0,0,0
Lactobacillus_acidophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_alimentarius,0,0,0,0,0.05978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_amylovorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27765,0,0,0.13033
Lactobacillus_animalis,0,0,0,0,0,0,0,0,0,0,0,0,0.0905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_crispatus,0,0,0,0.10355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01422,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_curvatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_delbrueckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41426,0,0,0,0,0.01567,0,0,0,0.00506,0,0,0,0,0,0,0.07406,0,0,0
Lactobacillus_dextrinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_farciminis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_fermentum,0,0,0,0,0,0,0.02905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01302,0.01046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457,0,0,0,0,0,0,0,0,0,0.06706,0,0,0
Lactobacillus_fuchuensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_gasseri,0,0,0,0.00245,0,0,0,0,0,0,0,0,0,0,0,0.02741,0,0,0,0,0,0,0,0,0,0.0414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02617,0,0,0,0,0,0.00032,0,0,0,1.6262,0,0,0
Lactobacillus_mucosae,0,0,0,0.00188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0.38792,0,0,0,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0.02216,0,0,0,0,0,0,0,0,0,0,0.00419,0,0,0,13.93379,0,0,0
Lactobacillus_oris,0,0,0,0,0,0.02972,0,0,0,0,0,0,0,0,0,0.00255,0,0,0,0,0.03942,0,0,0,0,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_parabuchneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_paragasseri,0,0,0,0.01324,0,0.01923,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0.05675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995,0,0,0,0,0,0.00165,0,0,0.00164,11.82118,0,0,0
Lactobacillus_paraplantarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_plantarum,0.12611,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0.13727,0,0,0,0,0,0.01188,0,0.02548,0,0.00989,0.06194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01769,0,0,0,0,0,0,0,0
Lactobacillus_reuteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_rhamnosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957,0,0,0
Lactobacillus_rogosae,0,0,0,0,0,0,0,0,0.00454,0.24845,0,0,0,0,0,0.03748,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0,0,0.0145,0.02863,0,0,0,0,0,0,0.00817,0.0009,0,0,0,0,0.00233,0,0.00269,0,0,0.01451,0,0.02705
Lactobacillus_ruminis,0,0,0,7.79526,0,0,0,0,0.78742,0,0,7.68195,0,0,0,0,0,0,0,0,0,7.407,0,0,0,5.54994,0.20776,2.02872,0.00205,0,0,0,0,0,0,0,0,0,0.10639,0.11074,0,0,0,0,0,0,11.47789,0,0,0.29038,0,0,0.00187,0,0
Lactobacillus_sakei,0,0,0,0,0,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0.00414,0,0,0,0,0,0.64494,0,0,0,0,0,0.00969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04326,0,0,0,0,0
Lactobacillus_salivarius,0,0,0,2.61048,0,0,0.46788,0,0,0,0,0,0,0,0,0.20877,0,0.02833,0,0,0.17089,0,0,0,1.27011,0.06121,0,0,0,0,0,0.00197,0,0.03266,0,0,0,0,0,0,0,0.38066,0,0,0,0,0,0.01663,0,0,0,0,0,0.00737,0.2377
Lactobacillus_vaginalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pediococcus_acidilactici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32353,0,0,0
Leuconostoc_carnosum,0,0.00208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc_citreum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265,0,0.00181,0,0,0,0.01136,0.01207,0,0,0.18143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01147,0,0,0,0,0,0,0,0.00811,0
Leuconostoc_garlicum,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0.0059,0,0,0,0,0,0,0,0.00724,0
Leuconostoc_gelidum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01317,0,0,0,0,0,0,0,0,0,0,0.03174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc_lactis,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0,0,0,0.01665,0.00849,0,0,0,0,0,0,0,0.17059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03049,0,0,0,0,0,0,0,0,0,0,0,0,0
