names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Prevotella_histicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_oris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_salivae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_sp_AM42_24,0,0,0,0,0,0.03379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15011,0,0,0,0,0,0.00016,0,0
Prevotella_sp_CAG_1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_sp_CAG_279,0,0,0.00133,0,0,0.20446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02612,0,0.39033,0,0,0,0,0,0,0,0,0,0,0,0,0.84997,0,0,0,0,0,0,0,0.39348,0,0,0,0.28892,0,0,0,0,0,0.00949,0,0
Prevotella_sp_CAG_520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74852,4.00911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4742,0,0,0,0,0,0,0,0
Prevotella_sp_CAG_5226,0,0,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_sp_CAG_891,0,0,0,0,0.76439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella_stercorea,0,0,0,0,0,0.23527,0,0,0,0.48582,0,0.58638,0,0,0.12482,0.24129,0,0,0,0,0,0,0,0.50314,0,0,0,0,0,0.26029,0,0,0,0,0.36329,0,0,0,0,0,0,0,0.16796,0,0,0,0.14277,0,0,0,0,0,0.1543,0,0
Prevotella_timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03191,0,0,0,0
Alistipes_finegoldii,0.00883,0.04755,0,0,0.17089,0,0.01598,0,0.01354,0.06869,0.01686,0.12018,0,0.10268,0.12726,0.00137,0.01691,0,0,0,0.03317,0.0013,2.15765,0.01213,0.0127,0.00251,0.05119,0,0.01007,1.70426,0,0,0.10426,0,0.08904,0,0,0,0,0,0,0.48506,0.22354,0.00073,0,0,0.00628,0,0.01992,0.00285,2.32471,0.03145,0.02434,2.74197,0
Alistipes_indistinctus,0.13563,0,0,0,0.09084,0.90215,2.74785,0,0.00492,0.02348,0,0,0.08421,0.10053,0,0,0.00018,0,0,0,0.03855,0,1.05319,0.09215,0.01255,0,0.03013,0,0.44248,0.06443,0,0,0,0,0,0,0,0,0,0,0,0.10895,0.21219,0,0,0,0.08798,0.0019,0,0.38835,0,0.10715,0.28432,1.97962,0
Alistipes_inops,0,0,0,0,0,0,0,0,0,0.03798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48544,0,0,0,0,0.08111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03584,0.95427,0,0,0
Alistipes_onderdonkii,0.04087,0,0,0,0,0,0.03483,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14545,0.00268,0,0.11591,0,0,0.03655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0.00056,0,0.10868,0,0,0
Alistipes_putredinis,3.96145,0,0.0209,0,0,5.23798,13.66157,0.00585,0,1.84529,0.73044,0.48837,0,8.34314,0,0.15247,3.26932,0,0,1.97477,0,1.72727,1.83372,0,0.59111,0.00384,0,0,7.58533,1.35884,0.00021,0,16.5613,0,0.30773,0,1.23191,0.06119,0,0.02771,0,6.70511,0.91854,1.05727,0.23535,0,0.03368,0,0.18132,0.90774,0,0.06805,0.65576,22.83078,0
Alistipes_shahii,0,0,0,0,0,0.0203,0.81392,0,0.00982,0.19961,0,0.00296,0,0.53209,0,0.00358,0.00464,0,0,0,0,0.00324,0.0181,0,0.0032,0.01425,0,0,0.18778,0.07834,0,0,0.13618,0,0.15731,0,0.00673,0,0,0,0,0.19399,0.07676,0.25788,0,0,0.03192,0,0,0.12822,0.1152,0,0.0011,0,0
Alistipes_timonensis,0,0.02889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides_distasonis,0.85307,0.01756,0.01425,0.01489,0,1.18303,1.16242,0.03592,0.17318,0.21012,0.31961,0.09589,0.37208,0.61221,0.92848,0.02313,0.00385,0.08777,0,0.007,0.07922,0.05337,0.09344,0.56825,0.06766,0.04997,0.9725,0.01575,0.16607,0.53793,0,0.06783,0.82253,0.14808,0.49315,0.03928,0.05683,0.1365,0,0,2.47537,2.46792,0.13516,1.38647,0.00579,3.39341,0.2417,0.24174,0.0591,0.10025,0.2677,1.82711,0.07431,3.85203,0.1243
Parabacteroides_goldsteinii,0,0,0,0,0,0,0,0,0,0.01908,0,0.01696,0,0,0,0,0,0,0,0,0.00146,0,0.00502,0,0,0,0.03405,0,0.00937,0.03036,0,0,0,0,0,0,0,0,0,0,0.16382,0,0.00762,0.00046,0,0,0.00741,0,0,0.02274,0.00338,0.01043,0.01455,0.54014,0
Parabacteroides_gordonii,0.00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0
Parabacteroides_johnsonii,0,0,0,0,0,0,0,0,0,0.01365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276,0.06218,0,0,0.04609,0.04392,0,0,0,0.01499,0,0,0,0,0,0,0,0.72555,0,0.3944,0,0,0,0,0,0,0,0,0,0.00397,0
Parabacteroides_merdae,0,0.06552,0,0.01407,0,2.44357,7.38853,0.00432,0.06041,0.39444,0.01732,0.1612,0,0.58513,0.20999,0.11331,0.0029,0,0,0.02025,0,0.04652,0.21928,4.55484,0,0,0,0,0.87596,0.08446,0,0,1.14514,0,0.12022,0,0.04027,0,0,0.00161,0.06243,1.32711,0.5491,0,0.00155,0,0.25338,0,0.01833,0.18735,0.07798,0,0.0106,4.32051,0.11643
Parabacteroides_sp_CAG_409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255,0,0,0,0,0,0.04635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus_wulumuqiensis,0,0,0.00674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella_asaccharolytica,0.00162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella_bergeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella_haemolysans,0.07244,0.01063,0.00377,0.00991,0.00333,0.00619,0,0,0.00082,0.0019,0.00464,0.02632,0,0,0,0.00834,0.00882,0.00095,0,0.0238,0.0069,0.00404,0.00372,0,0.02485,0.0027,0.0209,0.0053,0,0.00401,0.02653,0,0.00375,0,0,0.00626,0,0.00667,0.01204,0.02249,0,0,0,0,0,0,0.01681,0,0.0069,0.00203,0.00328,0,0,0.00121,0.00832
